OBJECTID,Name,Snippet,SWTORD,COMVAL_SQM,RESVAL_SQM,V_PER_SQMI,P_PER_SQMI,D_PER_SQMI,R_AVGYR,LUDIVERS,WE_CT,RCODEV,AUTOV,PCTR_GRCR,PCTR_PHARM,PCTR_BANK,PCTR_BUSST,DAYTRIPS,EVETRIPS,id,Neighborhoods__LENGTH,Neighborhoods__AREA,Shape_Length,Shape_Area
121,Swallows Ridge,http://durhamhoods.com/neighborhoods/swallows-ridge/,0,0,0,0,0,0,1987,0,0,0,0,0,0,0,0,0,0,121,0.007114821,-2.21e-06,0.007114821,-2.21e-06
122,Swann's Mill,http://durhamhoods.com/neighborhoods/swanns-mill/,82.7,35187,28278514,58,307,6,2008,0,1,0,0,0,0,0,0,0,0,122,0.029693757,-4.05e-05,0.029693757,-4.05e-05
123,Taylor Estates,http://durhamhoods.com/neighborhoods/taylor-estates/,98.6,0,0,61,61,0,2005,0,0,0,1,0,0,0,100,12,6,123,0.013838349,-8.54e-06,0.013838349,-8.54e-06
124,Trinity Heights,http://durhamhoods.com/neighborhoods/trinity-heights/,54.9,0,8105383,96,501,19,1966,20.6,2,1,0,1.4,0,0,100,53,11,124,0.018250989,-1.34e-05,0.018250989,-1.34e-05
125,Trinity Park,http://durhamhoods.com/neighborhoods/trinity-park/,91.6,49073,4796909,76,382,21,1939,22.5,21,9,4,0,0,20,100,208,53,125,0.064464369,-0.000136884,0.064464369,-0.000136884
126,Trotter Ridge,http://durhamhoods.com/neighborhoods/trotter-ridge/,0,0,1220765,9,51,0,1978,3.9,1,0,1,0,0,0,0,22,0,126,0.024964601,-3.03e-05,0.024964601,-3.03e-05
127,Tuscaloosa-Lakewood,http://durhamhoods.com/neighborhoods/tuscaloosa-lakewood/,13.4,432037,674150,60,327,32,1955,30.2,23,2,6,6.8,0,58.1,100,74,11,127,0.042644086,-9.02e-05,0.042644086,-9.02e-05
128,Urban 900,http://durhamhoods.com/neighborhoods/urban-900/,35.6,0,11122863,0,506,0,1947,30,3,1,0,0,0,0,100,0,0,128,0.007225128,-2.56e-06,0.007225128,-2.56e-06
129,Valley Run,http://durhamhoods.com/neighborhoods/valley-run/,28.9,0,13740,0,69,41,1983,1.6,2,0,0,0,0,17.6,31.9,0,0,129,0.020165802,-1.88e-05,0.020165802,-1.88e-05
130,Valleybrook,http://durhamhoods.com/neighborhoods/valleybrook/,4.4,0,3389874,5,55,0,1972,8.4,3,0,2,0,0,3.6,0.6,22,0,130,0.038604212,-4.74e-05,0.038604212,-4.74e-05
131,Vantage Pointe,http://durhamhoods.com/neighborhoods/vantage-pointe/,0,0,294087,8,25,0,1995,2.2,1,0,1,0,0,0,0,0,0,131,0.022214356,-3.11e-05,0.022214356,-3.11e-05
132,Walltown,http://durhamhoods.com/neighborhoods/walltown/,113.5,28751,383501,139,375,52,1948,29.8,35,18,4,38.6,28,33.8,99.7,106,22,132,0.040447829,-8.02e-05,0.040447829,-8.02e-05
133,Warehouse District,http://durhamhoods.com/neighborhoods/warehouse-district/,94.1,2450260,158406,49,477,14,1978,34.4,1,0,0,58.4,0,2.6,100,486,125,133,0.031971112,-3.69e-05,0.031971112,-3.69e-05
134,Waterford,http://durhamhoods.com/neighborhoods/waterford/,69.2,0,65293,6,23,6,1982,6.8,0,0,0,0,0,0,0,0,0,134,0.03724933,-4.52e-05,0.03724933,-4.52e-05
135,Watts Hospital-Hillandale,http://durhamhoods.com/neighborhoods/watts-hospital-hillandale/,47.4,726072,1304319,14,141,26,1947,21.2,26,3,2,29.2,17.5,21.5,48.6,79,22,135,0.079181343,-0.000325946,0.079181343,-0.000325946
136,Welcome Circle,http://durhamhoods.com/neighborhoods/welcome-circle/,0,0,0,0,0,0,1970,5.6,0,0,0,0,0,0,0,0,0,136,0.017692698,-1.92e-05,0.017692698,-1.92e-05
137,Wellington Forest,http://durhamhoods.com/neighborhoods/wellington-forest/,54.3,0,546363,22,70,16,1998,0,2,0,0,0,0,0,52,26,0,137,0.029240118,-4.8e-05,0.029240118,-4.8e-05
138,Wellons Village,http://durhamhoods.com/neighborhoods/wellons-village/,38.4,1814792,296622,234,991,347,1955,58,10,4,3,50,88.1,0,100,135,32,138,0.029305485,-4.1e-05,0.029305485,-4.1e-05
139,West End,http://durhamhoods.com/neighborhoods/west-end/,43,124881,1175361,93,201,81,1957,40.6,29,36,6,33.5,0,0,100,127,22,139,0.046687879,-8.91e-05,0.046687879,-8.91e-05
140,West Hills,http://durhamhoods.com/neighborhoods/west-hills/,34.9,218419,363969,14,81,4,1970,46.9,3,0,1,45.4,0,0.8,65,79,11,140,0.062000541,-0.000199437,0.062000541,-0.000199437
141,West Murray / Broad,http://durhamhoods.com/neighborhoods/west-murray-broad/,0,0,0,0,81,0,1952,17.4,1,0,0,0,62.5,0,100,27,11,141,0.01280206,-6.36e-06,0.01280206,-6.36e-06
142,Westgate Townes,http://durhamhoods.com/neighborhoods/westgate-townes/,0,0,1806289,0,903,0,1989,0,0,0,0,0,100,68.3,100,0,0,142,0.007494785,-2.29e-06,0.007494785,-2.29e-06
143,Westwood Estates,http://durhamhoods.com/neighborhoods/westwood-estates/,0,0,241198,0,37,0,1976,4.7,0,1,2,0,0,1.4,14.4,0,0,143,0.028421894,-4.92e-05,0.028421894,-4.92e-05
144,Willow Hill,http://durhamhoods.com/neighborhoods/willow-hill/,0,0,30935,9,31,0,1978,7.3,0,0,0,0,0,0,0,0,0,144,0.037121025,-5.87e-05,0.037121025,-5.87e-05
145,Windsor Oaks,http://durhamhoods.com/neighborhoods/windsor-oaks/,3.1,0,137121,0,32,0,1990,0,2,0,0,0,0,0,0,0,0,145,0.017302716,-1.63e-05,0.017302716,-1.63e-05
146,Woodcroft,http://durhamhoods.com/neighborhoods/woodcroft/,18.9,242965,350987,10,115,2,1986,6.7,2,2,2,0.4,9.7,7.1,65.3,134,11,146,0.113895794,-0.000224652,0.113895794,-0.000224652
147,Woodlake,http://durhamhoods.com/neighborhoods/woodlake/,31.4,0,544348,4,46,2,1994,1,2,1,0,0,10.3,3.8,20.7,81,11,147,0.044960032,-0.000117884,0.044960032,-0.000117884
148,Woodwinds,http://durhamhoods.com/neighborhoods/woodwinds/,0,0,507794,39,156,0,1987,0,0,0,0,0,0,0,55.2,0,0,148,0.011112227,-6.62e-06,0.011112227,-6.62e-06
149,Wynstead,http://durhamhoods.com/neighborhoods/wynstead/,67.4,0,0,0,130,0,2006,0,1,0,0,0,0,0,4.3,0,0,149,0.013751561,-9.97e-06,0.013751561,-9.97e-06
150,Central Park,http://durhamhoods.com/neighborhoods/central-park/,112.2,29677214,1245314,101,696,9,1969,39.7,0,0,1,66.7,33.3,100,100,208,54,150,0.027456789,-2.83e-05,0.027456789,-2.83e-05
151,Duke East Campus,http://durhamhoods.com/neighborhoods/duke/,44.6,1847089,8188870,13,17,0,1920,63.8,0,0,0,100,0,0,100,155,42,151,0.03553216,-6.13e-05,0.03553216,-6.13e-05
152,North Carolina Central University,http://durhamhoods.com/neighborhoods/north-carolina-central-university/,47.6,0,0,9,9,9,0,0,0,0,0,0,0,0,0,108,22,152,0.023221633,-2.83e-05,0.023221633,-2.83e-05
153,Orchid Court,http://durhamhoods.com/neighborhoods/orchid-court/,0,0,3451917,0,256,0,1995,0,0,0,0,0,0,0,0,0,0,153,0.004228147,-1.01e-06,0.004228147,-1.01e-06
154,Rigsbee Hill,http://durhamhoods.com/neighborhoods/rigsbee-hill/,57,0,0,0,1006,0,0,47.6,0,0,0,0,0,0,0,106,23,154,0.004460162,-1.29e-06,0.004460162,-1.29e-06
155,Whitney Park,http://durhamhoods.com/neighborhoods/whitney-park/,0,0,0,0,0,0,1987,0,0,0,0,0,0,0,100,81,11,155,0.00947855,-3.82e-06,0.00947855,-3.82e-06
