OBJECTID,Name,Snippet,SWTORD,COMVAL_SQM,RESVAL_SQM,V_PER_SQMI,P_PER_SQMI,D_PER_SQMI,R_AVGYR,LUDIVERS,WE_CT,RCODEV,AUTOV,PCTR_GRCR,PCTR_PHARM,PCTR_BANK,PCTR_BUSST,DAYTRIPS,EVETRIPS,id,Neighborhoods__LENGTH,Neighborhoods__AREA,Shape_Length,Shape_Area
29,Cranford Road,http://durhamhoods.com/neighborhoods/cranford-road/,20.2,0,1078416,0,28,0,1946,6.9,0,0,0,0,0,0,0,0,0,29,0.016905506,-9.27e-06,0.016905506,-9.27e-06
30,Crest Street,http://durhamhoods.com/neighborhoods/crest-street/,58.6,2,69744601,201,569,106,1992,36.3,3,9,2,23.5,23.5,81.9,100,106,22,30,0.064215152,-0.000163908,0.064215152,-0.000163908
31,Croasdaile,http://durhamhoods.com/neighborhoods/croasdaile/,11.4,0,664491,0,6,0,1980,16.7,0,0,0,0,9.9,12.6,23.8,27,11,31,0.050654068,-0.000138092,0.050654068,-0.000138092
32,Crooked Creek,http://durhamhoods.com/neighborhoods/crooked-creek/,34.3,0,18331,26,141,13,1989,17.8,0,1,0,35.1,75.3,0,85.9,81,11,32,0.052427284,-9.88e-05,0.052427284,-9.88e-05
33,Cross Timbers,http://durhamhoods.com/neighborhoods/cross-timbers/,22.1,0,0,0,94,0,1987,0,0,0,1,0,0,0,100,79,0,33,0.009629256,-5.5e-06,0.009629256,-5.5e-06
34,Crown Point,http://durhamhoods.com/neighborhoods/crown-point/,0,0,107837,10,181,20,1991,0,4,3,0,0,0,52.8,59,0,0,34,0.02333088,-2.57e-05,0.02333088,-2.57e-05
35,Darby Glen,http://durhamhoods.com/neighborhoods/darby-glen/,44.3,0,0,53,212,0,1988,2.4,1,0,0,0,0,2.7,100,81,11,35,0.008958178,-4.88e-06,0.008958178,-4.88e-06
36,Dixon Road Area,http://durhamhoods.com/neighborhoods/dixon-road-area/,12.3,0,1178543,3,80,10,1970,14,3,2,1,7.4,0,1.7,29.2,0,0,36,0.042781126,-7.8e-05,0.042781126,-7.8e-05
37,Downtown,http://durhamhoods.com/neighborhoods/downtown/,117.7,36689680,282871,148,563,71,1922,40.8,7,21,3,1.4,4.1,37.8,100,809,180,37,0.064192779,-0.000117279,0.064192779,-0.000117279
38,Duke Forest,http://durhamhoods.com/neighborhoods/duke-forest/,30.6,0,2284117,5,45,0,1965,18,1,0,0,0,0,18.7,20.1,74,11,38,0.055975737,-0.000161653,0.055975737,-0.000161653
